grammar	tier	parity	fix
tlaplus	IV-perf	unmeasured	ext=.tla; reproduced on origin/parity/c-oracle-clears b52df6d9: 14/40, median 201x, agg 847x, trunc 21/40, max RSS 5.9GB; cap 2 stays 14/40 (trunc 20/40), so not IV-stackcap. Dominant family is early stop under GLR churn (memory_budget, iteration_limit, node_limit, no_stacks_alive) where C parses full files; residual accepted divergences include scanner/shape-sensitive operator forms such as DOMAIN(f) bound_nonfix_op vs bound_prefix_op.
tmux	IV-recovery?	0/1	ext=.tmux.conf,tmux.conf; faithful C error-cost version competition (see spec)
todotxt	CLEAN	40/40	in ratchet
toml	IV-unknown	8/11	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 8/11, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: in ratchet
tsx	CLEAN	40/40	in ratchet
turtle	IV-unknown	21/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 21/40, trunc=12, errTree=6, panics=0; previous CLEAN row was stale: in ratchet
twig	CLEAN	40/40	in ratchet
typescript	IV-perf	unmeasured	diagnostic scan 20260621T035630Z-206-inventory-telemetry: unmeasured (timeout external); scan metadata oom_killed=true, use as diagnostic evidence; previous CLEAN row was stale: typed-arrow merge cap selection and destructuring-pattern normalization; verified 2026-06-12
typst	IV-recovery?	unmeasured	nested list item result normalization verified 2026-06-12; zero-width group comma normalization cleared docs/components/section.typ 2026-06-13; residuals: docs/components/example.typ root ERROR vs C source_file plus 4 truncations
uxntal	IV-recovery?	0/40	faithful C error-cost version competition (see spec)
v	IV-recovery?	5/40	faithful C error-cost version competition (see spec)
verilog	IV-recovery?	unmeasured	faithful C error-cost version competition (see spec)
vhdl	IV-recovery?	unmeasured	faithful C error-cost version competition (see spec)
vimdoc	IV-recovery?	unmeasured	ext=.txt; faithful C error-cost version competition (see spec)
vue	CLEAN	40/40	in ratchet
wat	IV-recovery?	0/34	faithful C error-cost version competition (see spec)
wgsl	IV-recovery	21/40	WGSL recovered-call assignment and u32 constructor argument normalizations cleared radiosity.wgsl; remaining 3/40 are blur/normalMap/particle root recovery choices, trunc=0 panics=0 (verified 2026-06-13)
wolfram	IV-unknown	0/11	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 0/11, trunc=9, errTree=2, panics=0; previous CLEAN row was stale: Wolfram split infix compatibility pass promoted; Docker real-corpus strict parity verified 2026-06-11
xml	IV-unknown	1/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 1/40, trunc=0, errTree=0, panics=0; previous CLEAN row was stale: in ratchet
yaml	CLEAN	40/40	in ratchet
yuck	IV-unknown	1/2	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 1/2, trunc=0, errTree=1, panics=0; previous CLEAN row was stale: in ratchet
zig	IV-unknown	39/40	diagnostic scan 20260621T035630Z-206-inventory-telemetry: 39/40, trunc=0, errTree=1, panics=0; previous CLEAN row was stale: in ratchet; C-recovery gate (stage-2 redwood)
